STATEFIPS;STATE;ZIPCODE;NumofReturns;TotalIncome;Salaries;NumofRetwithDivis;Divis;NumofRetwithRE;Retax
1;AL;35004;5420.0000;331183.0000;263184.0000;620.0000;1250.0000;280.0000;330.0000
1;AL;35005;3440.0000;139266.0001;111863.0000;180.0000;260.0000;130.0000;157.0000
1;AL;35006;1230.0000;66755.0001;49973.0000;100.0000;132.0000;20.0000;20.0000
1;AL;35007;12600.0000;776780.0000;599076.0000;1720.0000;4974.0000;730.0000;1210.0000
1;AL;35010;8280.0000;467529.0000;301453.0000;850.0000;9786.0000;360.0000;943.0000
1;AL;35014;1730.0000;88943.0001;65942.0000;130.0000;639.0000;90.0000;120.0000
1;AL;35016;7700.0000;435107.0000;309543.0000;860.0000;2935.0000;280.0000;541.0000
1;AL;35019;1000.0000;55316.0000;36582.0000;80.0000;49.0000;30.0000;68.0000
1;AL;35020;9570.0000;282442.0000;226594.0000;220.0000;284.0000;170.0000;263.0000
1;AL;35022;10890.0000;639408.0000;487327.0000;1240.0000;4341.0000;1160.0000;2047.0000
1;AL;35023;10660.0000;524456.0000;399151.0000;870.0000;1886.0000;400.0000;561.0000
1;AL;35031;3080.0000;146045.0001;111835.0000;230.0000;401.0000;50.0000;69.0000
1;AL;35033;1520.0000;99276.0000;71830.0000;150.0000;648.0000;80.0000;139.0000
1;AL;35034;1600.0000;59059.0000;44162.0000;80.0000;301.0000;40.0000;30.0000
1;AL;35035;590.0000;49174.0000;24951.0000;40.0000;127.0000;30.0000;50.0000
1;AL;35040;8950.0000;505101.0000;412202.0000;720.0000;2978.0000;500.0000;780.0000
1;AL;35042;2350.0000;121051.0000;94324.0000;160.0000;451.0000;80.0000;71.0000
1;AL;35043;6210.0000;574810.0000;421517.0000;1250.0000;5161.0000;750.0000;1578.0000
1;AL;35044;3350.0000;151220.0000;110220.0000;250.0000;752.0000;110.0000;161.0000
1;AL;35045;6070.0000;320258.0000;234185.0000;470.0000;1694.0000;210.0000;281.0000
1;AL;35046;2440.0000;154084.0000;106656.0000;280.0000;1526.0000;110.0000;220.0000
1;AL;35049;1650.0000;90462.0001;68132.0000;140.0000;178.0000;40.0000;29.0000
1;AL;35051;3720.0000;279160.0000;165993.0000;550.0000;3326.0000;260.0000;628.0000
1;AL;35053;1290.0000;105217.0000;63301.0000;270.0000;1202.0000;100.0000;273.0000
1;AL;35054;1990.0000;170242.0000;97133.0000;410.0000;4025.0000;160.0000;370.0000
1;AL;35055;8700.0000;520715.0000;364467.0000;1210.0000;5318.0000;370.0000;582.0000
1;AL;35057;5700.0000;361875.0000;264429.0000;630.0000;2513.0000;280.0000;437.0000
